id,type,subtype,class_grouped,n_obs_I,I_median,I_mean,V_minus_I,log_period,I_amp,log_period2,period_ratio,has_period2,I_p95_p5,I_mad,I_kurtosis
LMC563.22.12,LPV,OSARG,LPV,337,14.737,14.737,1.6989999999999998,1.3051363189436394,0.01,1.5937289987079108,1.9435364041604755,1,0.027200000000000557,0.006000000000000227,0.0397344772139947
LMC562.06.10104,LPV,OSARG,LPV,344,15.4025,15.402,1.4489999999999998,1.0952739880981819,0.006,2.428134794028789,21.520918654139567,1,0.024850000000000705,0.0045000000000001705,2.546673552426222
LMC562.06.14,LPV,OSARG,LPV,344,14.503,14.503,1.8599999999999994,1.413299764081252,0.012,2.4183012913197452,10.115830115830116,1,0.038000000000000256,0.006999999999999673,0.40249842421074655
LMC563.30.29,LPV,OSARG,LPV,337,14.956,14.957,1.5869999999999997,1.2663493119869975,0.012,1.4065401804339552,1.380991064175467,1,0.032399999999999096,0.006999999999999673,-0.17230302266126207
LMC563.05.1818,ECL,,BINARY,337,19.608,19.618,0.4150000000000027,0.3470859610919814,0.338,,,0,0.38879999999999626,0.06099999999999994,1.8198107643478285
LMC562.31.9273,LPV,OSARG,LPV,345,15.16,15.161,1.5000000000000018,1.4689378056654612,0.011,2.0141003215196207,3.5088315217391304,1,0.02880000000000038,0.006000000000000227,0.03604294621366133
LMC563.05.32,ELL,,BINARY,337,15.237,15.236,1.4540000000000006,2.304942682402465,0.053,,,0,0.05600000000000094,0.01699999999999946,-1.232532305993502
LMC562.23.12553,OTHER,,OTHER,344,19.195500000000003,19.189,0.0030000000000001137,-0.06558235524692554,0.13,,,0,0.2857999999999983,0.05799999999999983,0.38298705436446356
LMC562.31.26,LPV,SRV,LPV,344,13.688,13.702,2.449,2.3406423775607053,0.215,2.1556396337597765,0.6531264262893656,1,0.28384999999999927,0.06599999999999895,-0.6258031578087482
LMC562.06.10099,LPV,OSARG,LPV,343,15.329,15.329,1.5259999999999998,1.1380499442048897,0.005,1.8107028609471167,4.7060107699024885,1,0.023899999999999366,0.005000000000000782,0.6311962353600769
LMC563.13.1976,ECL,,BINARY,336,19.466,19.463,0.45899999999999963,0.2578249146497561,0.322,,,0,0.40050000000000097,0.08549999999999969,1.2180242490549076
LMC562.31.21,LPV,OSARG,LPV,344,14.031,14.032,1.8640000000000008,1.5469126431812426,0.036,1.674585602302914,1.3417541867726372,1,0.07099999999999973,0.01699999999999946,-0.5117027568012547
LMC562.14.10444,OTHER,,OTHER,338,13.616,13.616,0.7989999999999995,0.5228483436025332,0.018,,,0,0.031150000000000233,0.006999999999999673,-0.07694932395243459
LMC562.31.10364,OTHER,,OTHER,345,18.385,18.382,-0.022000000000002018,0.554052829275318,0.061,,,0,0.11340000000000217,0.02500000000000213,-0.03830834703724406
LMC563.22.7165,LPV,SRV,LPV,336,13.827,13.826,2.443999999999999,2.0538464268522527,0.068,1.861534410859038,0.642226148409894,1,0.13374999999999915,0.02999999999999936,-0.4159319774302057
LMC562.31.537,OTHER,,OTHER,344,17.61,17.609,-0.03200000000000003,0.149394643032612,0.021,,,0,0.060549999999999216,0.012000000000000455,0.7000513894320468
LMC563.05.9125,RRLYR,RRc,PULS,335,18.955,18.936,0.2959999999999994,-0.5560711355632422,0.256,,,0,0.3343999999999987,0.08399999999999963,0.3381169082451416
LMC563.22.858,RRLYR,RRab,PULS,336,18.992,18.995,0.593,-0.2735906837400209,0.17,,,0,0.23249999999999815,0.05900000000000105,-0.46654585781446123
LMC563.05.1028,RRLYR,RRd,PULS,336,18.680500000000002,18.662,0.4200000000000017,-0.4342941763472402,0.24,-0.3059426206873655,1.3438523517334606,1,0.3985000000000021,0.08649999999999736,-0.4166022690816522
LMC563.13.19,LPV,SRV,LPV,336,14.575,14.583,1.8630000000000013,2.4409090820652177,0.111,1.7378285058957847,0.1981159420289855,1,0.14899999999999913,0.03049999999999997,0.22192255751564582
LMC562.31.9249,LPV,OSARG,LPV,345,14.84,14.84,1.6529999999999987,2.2079035303860515,0.01,1.1471814721927966,0.08695167286245353,1,0.02280000000000193,0.004999999999999005,-0.01620518522198955
LMC562.23.444,OTHER,,OTHER,321,17.886,17.889,-0.14199999999999946,0.4653977242924431,0.069,,,0,0.10800000000000054,0.02400000000000091,0.1519741185007839
LMC563.22.2,LPV,OSARG,LPV,144,14.041,14.041,1.5139999999999993,1.3174992211071317,0.015,1.4183012913197455,1.2612525874933809,1,0.040249999999998565,0.008000000000000895,1.1284670954262177
LMC562.31.588,OTHER,,OTHER,344,17.637,17.635,-0.028999999999999915,0.5262100038416643,0.039,,,0,0.06640000000000157,0.015000000000000568,-0.04756429332463785
LMC563.13.7556,LPV,OSARG,LPV,335,15.054,15.056,1.575000000000001,1.214499453710881,0.008,1.3485385012579936,1.3615670958686765,1,0.026000000000001577,0.006000000000000227,3.4700241654481436
