PC1,PC2,class_grouped,id,type,misclassified_best_model
-2.3074110116535818,-0.8861088104240897,PULS,LMC563.08.7421,RRLYR,False
-3.2545296529113834,-1.9777187023186609,LPV,LMC563.08.9,LPV,False
11.128671752767573,0.7219339048289315,LPV,LMC562.09.27,LPV,False
-1.2991368511580685,-1.711341768547975,PULS,LMC562.01.1029,RRLYR,False
-2.6267171286644757,-0.5473562952123345,BINARY,LMC562.01.1165,ECL,False
-4.827404673763497,-2.412893593446324,LPV,LMC571.14.4643,LPV,False
-2.3221870410311256,-0.8347480788744017,PULS,LMC571.06.49,DCEP,False
-3.519410073872703,-0.870253077021587,LPV,LMC562.26.11,LPV,False
-2.6191925569374015,-0.6152536816024764,PULS,LMC562.26.9217,RRLYR,False
1.8993751937206973,5.502409044138987,LPV,LMC563.08.33,LPV,False
-2.9422608032567164,-0.4021147678476714,BINARY,LMC571.23.6502,ECL,False
-2.8671831742474687,-0.5786097716783957,BINARY,LMC562.18.8027,ELL,False
5.452126872352966,9.728567197141423,LPV,LMC570.16.31,LPV,False
-2.925150732903768,-1.492633389728888,LPV,LMC562.09.8173,LPV,False
-4.6419248412528,-2.041624095302625,LPV,LMC571.14.8,LPV,False
7.3260460176792686,10.199847319533834,LPV,LMC570.25.5849,LPV,False
5.2866858021554926,9.356493445258558,LPV,LMC562.01.43,LPV,False
-4.883773604159009,-2.5223870152904997,LPV,LMC571.14.4637,LPV,False
3.2823672297191884,7.554827495588038,LPV,LMC571.31.19,LPV,False
-2.6805438906731984,-0.5491401687968336,BINARY,LMC562.01.9440,ECL,False
-3.517373377364544,-0.434069405149592,LPV,LMC562.09.8283,LPV,False
12.395001114605478,17.535325701589446,LPV,LMC562.26.8067,LPV,False
2.3019191177879623,5.8954961812825255,LPV,LMC562.26.56,LPV,False
1.5690605238251543,4.995172871819381,LPV,LMC563.08.6583,LPV,False
-2.774932482233036,-0.5445945353194469,BINARY,LMC571.23.2052,ECL,False
-2.3058805775024,-0.8689588497162775,PULS,LMC563.17.6432,RRLYR,False
-2.750377256188355,-0.49476264866698744,BINARY,LMC563.08.1241,ECL,False
-2.86342595789346,-0.41460555987566927,BINARY,LMC570.25.3794,ECL,False
0.6259365761393347,-6.3253546627788015,LPV,LMC571.31.1,LPV,False
0.7620000284014647,4.323828085753094,LPV,LMC571.31.17,LPV,False
-2.603246707553873,-0.6122262798569271,PULS,LMC563.17.6434,RRLYR,False
-2.554530050031464,-0.6362673890037979,BINARY,LMC570.25.1207,ECL,False
-2.287360893995731,-0.8630048306549009,PULS,LMC562.01.9811,DSCT,False
-4.868955024744434,-2.5116997618716512,LPV,LMC562.09.8189,LPV,False
-2.707120642364698,-0.502958985163076,BINARY,LMC570.25.952,ECL,True
-4.0711509753150255,-1.3897473451375961,LPV,LMC562.01.2,LPV,False
-2.6860353094155633,-0.49102978175754297,BINARY,LMC562.26.34,ECL,False
-3.058728358688246,-1.885141361190433,LPV,LMC562.01.7893,LPV,False
0.060052868641389257,3.437586199835656,LPV,LMC571.23.4206,LPV,False
-4.260097851189613,-1.73372833801153,LPV,LMC563.17.43,LPV,False
7.899622157125399,-13.103191695618108,LPV,LMC562.01.15,LPV,False
-2.718012663781907,-0.555852836962425,BINARY,LMC571.14.2575,ECL,False
-2.8770300801150084,-0.36016590357813827,BINARY,LMC570.25.1351,ECL,False
-3.4410830707053974,-0.6147141332281916,LPV,LMC571.31.2,LPV,False
-1.8148391261571524,1.60241804344284,LPV,LMC571.14.9,LPV,False
1.4758784871480044,3.4763468274776548,LPV,LMC571.06.20,LPV,False
-2.5905676208218167,-0.6241267361160427,PULS,LMC571.14.5010,RRLYR,False
-2.3204147831481383,-0.8330413249705888,PULS,LMC562.09.1349,RRLYR,False
-3.6353975376797267,-2.5320895809346853,LPV,LMC562.09.40,LPV,False
-2.5520588276813068,-0.6318695155989718,BINARY,LMC570.25.789,ECL,False
-3.984594729164275,-2.9333337873379604,LPV,LMC562.26.26,LPV,False
-2.659927934713075,-0.5840146193419593,BINARY,LMC562.09.1625,ECL,False
-2.42380844213413,-0.806812974799391,PULS,LMC562.18.12289,DSCT,True
11.91450269839903,17.461059481487258,LPV,LMC570.25.5823,LPV,False
19.820586255264594,-22.364501064086724,LPV,LMC571.23.4,LPV,False
3.0092563839150595,5.324093167976661,LPV,LMC562.09.42,LPV,False
-4.439354818071422,-1.8355926224694898,LPV,LMC571.14.4634,LPV,False
-2.665397800439552,-0.5309123977142611,BINARY,LMC562.18.8508,ECL,False
-2.6236381171250787,-0.6010601970488121,PULS,LMC571.14.574,RRLYR,False
-2.693074242599136,-0.48435460982398343,BINARY,LMC571.31.204,ECL,False
-3.441633689206358,-2.2470980720048317,LPV,LMC571.23.4214,LPV,False
12.868083097160778,0.5324342843424676,LPV,LMC562.26.8076,LPV,False
-3.0885242944483675,-0.1862202625729511,BINARY,LMC562.09.803,ELL,False
1.9175630681173361,5.833132411034265,LPV,LMC571.31.22,LPV,False
-2.956710066119881,-0.3689032134407515,BINARY,LMC563.17.8423,ECL,False
-4.301608793165118,-3.3718905065276283,PULS,LMC562.09.5168,DSCT,False
-4.463463189305288,-0.2325371536151158,BINARY,LMC562.18.1655,ECL,False
8.262593005770025,-2.986576443691199,LPV,LMC571.14.25,LPV,False
-2.325887674483284,-0.8359374808208604,PULS,LMC571.31.927,RRLYR,False
9.828394982048696,14.874564336933554,LPV,LMC562.01.7902,LPV,False
11.711583687654432,17.109041103192716,LPV,LMC562.18.27,LPV,False
-2.3043352767464422,-0.8753370150469333,PULS,LMC562.09.49,DCEP,False
-2.2897100294136625,-0.8944200640183144,PULS,LMC571.23.510,RRLYR,False
-2.6727816513817007,-0.5522997771341398,BINARY,LMC563.08.7246,ECL,False
4.2017441002756755,8.284920819280309,LPV,LMC563.17.5848,LPV,False
-2.291372855897597,-0.8560469227400495,PULS,LMC563.17.6680,RRLYR,False
-2.563974149864415,-0.6733155249796292,BINARY,LMC562.09.4461,ECL,False
1.0675237950061338,-3.7321300663076267,PULS,LMC570.25.6407,RRLYR,False
24.430314649802963,-25.6596464204421,LPV,LMC562.26.20,LPV,False
-2.697790100999564,-0.5093012013113837,BINARY,LMC562.09.9339,ECL,False
11.267872162185046,16.369096206700576,LPV,LMC562.01.26,LPV,False
-2.6805642178433264,-0.5472788656382185,BINARY,LMC562.01.8912,ECL,False
3.329126253580778,7.630404432789469,LPV,LMC562.09.6,LPV,False
-2.9095450787177985,-0.396541244488039,BINARY,LMC570.25.4108,ECL,False
26.941363459721934,-13.402269518110112,LPV,LMC571.23.31,LPV,False
-2.6456158672545564,-0.6170481055567513,BINARY,LMC562.18.10081,ECL,False
-3.1442299455723868,-0.2099893487825445,BINARY,LMC571.14.4755,ECL,False
-3.115806782955448,-0.308184556441812,BINARY,LMC562.18.1524,ECL,False
22.182081934910016,0.8608793853475465,LPV,LMC563.08.41,LPV,False
-2.50293655922913,-0.6871829150512072,PULS,LMC571.14.424,RRLYR,False
-2.6949189745893056,-0.5191334170031822,BINARY,LMC571.06.1219,ECL,False
-2.7864361228095746,-1.0969108439475632,LPV,LMC562.18.5,LPV,False
-1.8924263537518424,-1.1998508710508553,PULS,LMC562.01.723,RRLYR,False
3.177968203889349,6.878114165752406,LPV,LMC571.14.29,LPV,False
19.51671948190323,-22.17215127440363,LPV,LMC571.23.27,LPV,False
-2.319150741389292,-0.8975830156790507,PULS,LMC571.14.3817,DSCT,False
10.17358792307806,0.3188802218263369,LPV,LMC563.08.47,LPV,False
-2.334309724170538,-0.8339249894683892,PULS,LMC563.08.824,RRLYR,False
-2.297728411091531,-0.8751706636195231,PULS,LMC571.14.5027,RRLYR,False
-2.1384750271388357,0.6433029699371227,LPV,LMC571.23.33,LPV,False
-0.282930042078811,-0.9941153728307136,LPV,LMC571.23.4222,LPV,False
-2.2309509830148473,-0.9320680593357309,BINARY,LMC562.01.947,ECL,False
31.542031319515736,-27.597437095254524,LPV,LMC571.14.4635,LPV,False
-2.7047477183975435,-0.5948610014634353,BINARY,LMC562.26.5015,ECL,False
-2.6871964379933178,-0.517737513734394,BINARY,LMC571.14.4852,ECL,False
-3.7646489702060277,-0.9529922616096491,LPV,LMC562.01.7869,LPV,False
-0.6125429888825296,2.774223044484888,LPV,LMC571.23.4198,LPV,False
-4.612043234560296,-2.60140535040881,BINARY,LMC562.01.100,ECL,False
-3.8025498031283504,-1.0390885591572034,LPV,LMC562.09.4,LPV,False
2.2598906412461615,6.097093036393042,LPV,LMC571.23.28,LPV,False
-2.32393076540801,-0.8800710685131428,PULS,LMC563.17.4300,DSCT,False
-2.9281703199688858,-0.08547875442208391,LPV,LMC570.24.20,LPV,False
-3.937701065777974,-1.3296654477391068,LPV,LMC571.06.4589,LPV,False
8.276652819977034,12.954670415912704,LPV,LMC562.18.62,LPV,False
-1.6171569299058441,1.8314690183634463,LPV,LMC562.09.7,LPV,False
-2.6715321602098876,-0.560664659862693,BINARY,LMC563.08.7840,ECL,False
15.873874806974928,-13.793479260662135,LPV,LMC562.01.52,LPV,False
-2.7214003296469653,-0.5409789974763617,BINARY,LMC571.23.2204,ECL,False
-5.088059391109533,-2.757516303440134,LPV,LMC571.14.4675,LPV,False
-1.9400226037566386,1.0385699248803966,LPV,LMC562.26.4,LPV,False
-2.3039954175034136,-0.8214673542790699,PULS,LMC562.18.61,DCEP,False
-3.7135256290877487,-1.2808640884669975,LPV,LMC570.15.6141,LPV,False
-2.3035596197498274,-0.8698937875953385,PULS,LMC562.09.8233,DCEP,False
13.680238554060715,17.824270841043834,LPV,LMC562.09.34,LPV,False
-2.3257677967959918,-0.8600312981684892,PULS,LMC562.18.8979,RRLYR,False
-2.7047136192940555,-0.5641419421135113,BINARY,LMC562.18.2580,ECL,False
2.7766901083922724,4.901726926761946,LPV,LMC562.26.8082,LPV,False
-3.6939332625452725,-0.5625803852737999,LPV,LMC571.06.4607,LPV,False
-2.6793436332330103,-0.5713148819392935,BINARY,LMC571.14.4984,ECL,False
-0.5454088446783238,2.829074349664819,LPV,LMC571.14.4621,LPV,False
-2.2787500982553306,-0.8763620470154888,PULS,LMC570.15.6880,RRLYR,False
-4.1368327923507,-1.1481255300370474,LPV,LMC562.26.15,LPV,False
-2.6264341073544193,-0.6219048493240691,BINARY,LMC562.26.745,ECL,False
-3.0940013574822,-1.864252411142726,LPV,LMC562.09.43,LPV,False
15.613314172641239,21.36252873088967,LPV,LMC562.09.46,LPV,False
